First Name,Last Name,Gender,Date of Birth,Class,Email,Phone,Major,GPA,Test-I,Test-II,Test-III,Test-IV,Middle Term Exam,Final Exam,Final Score
Matthew,Scott,Male,2003-07-22,Class 2027,matthew.scott@calstate.edu,555-684-6018,Pharmaceutical Sciences,3.27,70.9,86.5,66.2,82.6,83.6,67.4,B
Kenneth,Smith,Non-binary,2003-10-06,Class 2029,kenneth.smith@calstate.edu,555-443-5867,Physics,3.00,89.5,76.9,68.1,69.4,93.1,82.3,B+
Scott,Ward,Female,2004-05-26,Class 2029,scott.ward@calstate.edu,555-127-2985,Biochemistry,2.93,89.1,85.0,70.6,70.0,61.3,89.3,B
Amy,Perez,Non-binary,2005-05-25,Class 2027,amy.perez@calstate.edu,555-353-7278,Pharmaceutical Sciences,2.53,90.4,85.3,68.3,86.7,65.6,82.1,B
Nancy,Howard,Male,2003-07-30,Class 2029,nancy.howard@calstate.edu,555-894-5615,Environmental Science,3.45,69.1,96.1,66.1,66.1,97.3,88.0,B+
Mary,Carter,Female,2006-02-07,Class 2028,mary.carter@calstate.edu,555-153-8996,Biology,3.66,66.4,85.7,69.2,70.4,93.1,67.8,B
James,King,Female,2004-12-31,Class 2031,james.king@calstate.edu,555-368-8705,Biochemistry,3.95,82.4,71.5,85.4,97.8,71.9,99.4,B+
Diane,Hernandez,Non-binary,2003-07-14,Class 2031,diane.hernandez@calstate.edu,555-645-6350,Biology,3.16,86.3,93.2,97.5,94.5,67.5,66.1,B
Katherine,Lee,Male,2004-04-29,Class 2029,katherine.lee@calstate.edu,555-741-1444,Chemical Engineering,2.60,97.4,98.5,73.4,87.2,99.4,95.5,A+
Sarah,Stewart,Male,2006-12-05,Class 2031,sarah.stewart@calstate.edu,555-499-1472,Biology,3.10,68.3,73.5,81.4,79.5,64.0,96.3,B+
Steven,Baker,Male,2005-04-27,Class 2027,steven.baker@calstate.edu,555-217-6794,Biochemistry,3.53,76.7,87.8,94.8,70.9,74.9,81.7,B
Jason,Torres,Female,2004-05-26,Class 2027,jason.torres@calstate.edu,555-810-6348,Biology,2.50,72.6,66.5,95.7,87.2,62.7,68.5,C
Christopher,Thomas,Male,2005-03-29,Class 2029,christopher.thomas@calstate.edu,555-539-1951,Biochemistry,3.55,71.6,87.5,83.8,75.3,75.9,94.7,B+
Benjamin,Williams,Male,2004-05-18,Class 2028,benjamin.williams@calstate.edu,555-391-5748,Pharmaceutical Sciences,2.55,85.3,80.1,94.4,84.4,90.8,76.1,B+
Raymond,Turner,Female,2004-11-30,Class 2031,raymond.turner@calstate.edu,555-721-1201,Chemistry,3.23,93.6,91.9,73.7,80.6,84.5,75.0,B
William,Ramirez,Female,2004-11-10,Class 2030,william.ramirez@calstate.edu,555-725-4755,Chemical Engineering,2.66,71.4,74.4,82.1,79.5,91.8,77.6,B+
Patricia,Nelson,Non-binary,2004-05-03,Class 2030,patricia.nelson@calstate.edu,555-166-4513,Biology,3.73,65.9,73.0,66.0,90.4,75.6,71.9,B
Samantha,Phillips,Female,2006-07-29,Class 2031,samantha.phillips@calstate.edu,555-917-5779,Chemistry,3.30,76.3,71.5,99.7,89.5,61.8,81.8,B
James,Hill,Non-binary,2003-08-15,Class 2027,james.hill@calstate.edu,555-768-9918,Biochemistry,2.54,97.4,72.9,86.0,96.1,87.5,82.1,B+
Gregory,Nelson,Male,2005-10-03,Class 2028,gregory.nelson@calstate.edu,555-129-5245,Pharmaceutical Sciences,3.00,85.3,93.9,65.8,95.5,93.4,80.3,B+
